id,record_type,view_id,row_id,column_id,capability_refs,need,operation,outcome,implementation_status,standing,source_refs,code_refs,test_refs,account_ref,relation,coverage,extensions
M0->M4′,relation,relations,M0,M4′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,04:source-personal,L,"{""id"":""M0->M4′"",""src_product"":""Anuttara"",""dst_product"":""Nara"",""ql"":"""",""coverage"":""L"",""cf_view"":""CF5/CF6-field"",""seam"":""04:source-personal"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#35"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M0->M5′,relation,relations,M0,M5′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,05/50:source-return,H,"{""id"":""M0->M5′"",""src_product"":""Anuttara"",""dst_product"":""Epii"",""ql"":""D2-require|D2-complete"",""coverage"":""H"",""cf_view"":""CF7"",""seam"":""05/50:source-return"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#37;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M1->M0,relation,relations,M1,M0,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,01:source-mathematical,H,"{""id"":""M1->M0"",""src_product"":""Paramasiva"",""dst_product"":""Anuttara"",""ql"":""A1"",""coverage"":""H"",""cf_view"":""CF2"",""seam"":""01:source-mathematical"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M1->M1,relation,relations,M1,M1,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,self:Paramasiva,I,"{""id"":""M1->M1"",""src_product"":""Paramasiva"",""dst_product"":""Paramasiva"",""ql"":"""",""coverage"":""I"",""cf_view"":""CF2"",""seam"":""self:Paramasiva"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M1->M2,relation,relations,M1,M2,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,12:prakasa-vimarsa,H,"{""id"":""M1->M2"",""src_product"":""Paramasiva"",""dst_product"":""Parashakti"",""ql"":""B1"",""coverage"":""H"",""cf_view"":""CF3"",""seam"":""12:prakasa-vimarsa"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M1->M3,relation,relations,M1,M3,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,13:harmonic-transcription,S,"{""id"":""M1->M3"",""src_product"":""Paramasiva"",""dst_product"":""Mahamaya"",""ql"":"""",""coverage"":""S"",""cf_view"":""CF4"",""seam"":""13:harmonic-transcription"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M1->M4,relation,relations,M1,M4,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,14:harmonic-personal,H,"{""id"":""M1->M4"",""src_product"":""Paramasiva"",""dst_product"":""Nara"",""ql"":""C2"",""coverage"":""H"",""cf_view"":""CF5-field"",""seam"":""14:harmonic-personal"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33;QL-MEF#35;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M1->M5,relation,relations,M1,M5,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,15:harmonic-return,L,"{""id"":""M1->M5"",""src_product"":""Paramasiva"",""dst_product"":""Epii"",""ql"":"""",""coverage"":""L"",""cf_view"":"""",""seam"":""15:harmonic-return"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33;QL-MEF#37"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M1->M0′,relation,relations,M1,M0′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,01:source-mathematical,H,"{""id"":""M1->M0′"",""src_product"":""Paramasiva"",""dst_product"":""Anuttara"",""ql"":""D2-require"",""coverage"":""H"",""cf_view"":""CF2"",""seam"":""01:source-mathematical"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M1->M1′,relation,relations,M1,M1′,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,conjugation:Paramasiva,H,"{""id"":""M1->M1′"",""src_product"":""Paramasiva"",""dst_product"":""Paramasiva"",""ql"":""D1"",""coverage"":""H"",""cf_view"":""CF2"",""seam"":""conjugation:Paramasiva"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M1->M2′,relation,relations,M1,M2′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,12:prakasa-vimarsa,H,"{""id"":""M1->M2′"",""src_product"":""Paramasiva"",""dst_product"":""Parashakti"",""ql"":""D2-transform"",""coverage"":""H"",""cf_view"":""CF3"",""seam"":""12:prakasa-vimarsa"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M1->M3′,relation,relations,M1,M3′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,13:harmonic-transcription,L,"{""id"":""M1->M3′"",""src_product"":""Paramasiva"",""dst_product"":""Mahamaya"",""ql"":"""",""coverage"":""L"",""cf_view"":""CF4"",""seam"":""13:harmonic-transcription"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M1->M4′,relation,relations,M1,M4′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,14:harmonic-personal,H,"{""id"":""M1->M4′"",""src_product"":""Paramasiva"",""dst_product"":""Nara"",""ql"":""D2-complete"",""coverage"":""H"",""cf_view"":""CF5-field"",""seam"":""14:harmonic-personal"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#35;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M1->M5′,relation,relations,M1,M5′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,15:harmonic-return,L,"{""id"":""M1->M5′"",""src_product"":""Paramasiva"",""dst_product"":""Epii"",""ql"":"""",""coverage"":""L"",""cf_view"":"""",""seam"":""15:harmonic-return"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#37"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M2->M0,relation,relations,M2,M0,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,02:source-correspondential,L,"{""id"":""M2->M0"",""src_product"":""Parashakti"",""dst_product"":""Anuttara"",""ql"":"""",""coverage"":""L"",""cf_view"":""CF3"",""seam"":""02:source-correspondential"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M2->M1,relation,relations,M2,M1,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,12:prakasa-vimarsa,H,"{""id"":""M2->M1"",""src_product"":""Parashakti"",""dst_product"":""Paramasiva"",""ql"":""B1"",""coverage"":""H"",""cf_view"":""CF3"",""seam"":""12:prakasa-vimarsa"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M2->M2,relation,relations,M2,M2,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,self:Parashakti,I,"{""id"":""M2->M2"",""src_product"":""Parashakti"",""dst_product"":""Parashakti"",""ql"":"""",""coverage"":""I"",""cf_view"":""CF3"",""seam"":""self:Parashakti"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M2->M3,relation,relations,M2,M3,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,23:refraction-transduction,H,"{""id"":""M2->M3"",""src_product"":""Parashakti"",""dst_product"":""Mahamaya"",""ql"":""A2|C3"",""coverage"":""H"",""cf_view"":""CF4"",""seam"":""23:refraction-transduction"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M2->M4,relation,relations,M2,M4,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,24:correspondential-personal,S,"{""id"":""M2->M4"",""src_product"":""Parashakti"",""dst_product"":""Nara"",""ql"":"""",""coverage"":""S"",""cf_view"":""CF5-field"",""seam"":""24:correspondential-personal"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33;QL-MEF#35"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M2->M5,relation,relations,M2,M5,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,25:correspondential-return,L,"{""id"":""M2->M5"",""src_product"":""Parashakti"",""dst_product"":""Epii"",""ql"":"""",""coverage"":""L"",""cf_view"":"""",""seam"":""25:correspondential-return"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33;QL-MEF#37"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M2->M0′,relation,relations,M2,M0′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,02:source-correspondential,L,"{""id"":""M2->M0′"",""src_product"":""Parashakti"",""dst_product"":""Anuttara"",""ql"":"""",""coverage"":""L"",""cf_view"":""CF3"",""seam"":""02:source-correspondential"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M2->M1′,relation,relations,M2,M1′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,12:prakasa-vimarsa,H,"{""id"":""M2->M1′"",""src_product"":""Parashakti"",""dst_product"":""Paramasiva"",""ql"":""D2-require"",""coverage"":""H"",""cf_view"":""CF3"",""seam"":""12:prakasa-vimarsa"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M2->M2′,relation,relations,M2,M2′,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,conjugation:Parashakti,H,"{""id"":""M2->M2′"",""src_product"":""Parashakti"",""dst_product"":""Parashakti"",""ql"":""D1"",""coverage"":""H"",""cf_view"":""CF3"",""seam"":""conjugation:Parashakti"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M2->M3′,relation,relations,M2,M3′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,23:refraction-transduction,H,"{""id"":""M2->M3′"",""src_product"":""Parashakti"",""dst_product"":""Mahamaya"",""ql"":""D2-transform|D2-complete"",""coverage"":""H"",""cf_view"":""CF4"",""seam"":""23:refraction-transduction"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M2->M4′,relation,relations,M2,M4′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,24:correspondential-personal,L,"{""id"":""M2->M4′"",""src_product"":""Parashakti"",""dst_product"":""Nara"",""ql"":"""",""coverage"":""L"",""cf_view"":""CF5-field"",""seam"":""24:correspondential-personal"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#35"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M2->M5′,relation,relations,M2,M5′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,25:correspondential-return,L,"{""id"":""M2->M5′"",""src_product"":""Parashakti"",""dst_product"":""Epii"",""ql"":"""",""coverage"":""L"",""cf_view"":"""",""seam"":""25:correspondential-return"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#37"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M3->M0,relation,relations,M3,M0,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,03:source-symbolic,L,"{""id"":""M3->M0"",""src_product"":""Mahamaya"",""dst_product"":""Anuttara"",""ql"":"""",""coverage"":""L"",""cf_view"":""CF4"",""seam"":""03:source-symbolic"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M3->M1,relation,relations,M3,M1,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,13:harmonic-transcription,L,"{""id"":""M3->M1"",""src_product"":""Mahamaya"",""dst_product"":""Paramasiva"",""ql"":"""",""coverage"":""L"",""cf_view"":""CF4"",""seam"":""13:harmonic-transcription"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M3->M2,relation,relations,M3,M2,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,23:refraction-transduction,H,"{""id"":""M3->M2"",""src_product"":""Mahamaya"",""dst_product"":""Parashakti"",""ql"":""A2|C3"",""coverage"":""H"",""cf_view"":""CF4"",""seam"":""23:refraction-transduction"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M3->M3,relation,relations,M3,M3,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,self:Mahamaya,I,"{""id"":""M3->M3"",""src_product"":""Mahamaya"",""dst_product"":""Mahamaya"",""ql"":"""",""coverage"":""I"",""cf_view"":""CF4"",""seam"":""self:Mahamaya"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M3->M4,relation,relations,M3,M4,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,34:symbolic-personal,H,"{""id"":""M3->M4"",""src_product"":""Mahamaya"",""dst_product"":""Nara"",""ql"":""B2"",""coverage"":""H"",""cf_view"":""CF5-field"",""seam"":""34:symbolic-personal"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33;QL-MEF#35;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M3->M5,relation,relations,M3,M5,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,35:symbolic-return,L,"{""id"":""M3->M5"",""src_product"":""Mahamaya"",""dst_product"":""Epii"",""ql"":"""",""coverage"":""L"",""cf_view"":"""",""seam"":""35:symbolic-return"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33;QL-MEF#37"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M3->M0′,relation,relations,M3,M0′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,03:source-symbolic,L,"{""id"":""M3->M0′"",""src_product"":""Mahamaya"",""dst_product"":""Anuttara"",""ql"":"""",""coverage"":""L"",""cf_view"":""CF4"",""seam"":""03:source-symbolic"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M3->M1′,relation,relations,M3,M1′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,13:harmonic-transcription,L,"{""id"":""M3->M1′"",""src_product"":""Mahamaya"",""dst_product"":""Paramasiva"",""ql"":"""",""coverage"":""L"",""cf_view"":""CF4"",""seam"":""13:harmonic-transcription"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M3->M2′,relation,relations,M3,M2′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,23:refraction-transduction,H,"{""id"":""M3->M2′"",""src_product"":""Mahamaya"",""dst_product"":""Parashakti"",""ql"":""D2-require|D2-complete"",""coverage"":""H"",""cf_view"":""CF4"",""seam"":""23:refraction-transduction"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M3->M3′,relation,relations,M3,M3′,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,conjugation:Mahamaya,H,"{""id"":""M3->M3′"",""src_product"":""Mahamaya"",""dst_product"":""Mahamaya"",""ql"":""D1"",""coverage"":""H"",""cf_view"":""CF4"",""seam"":""conjugation:Mahamaya"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M3->M4′,relation,relations,M3,M4′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,34:symbolic-personal,H,"{""id"":""M3->M4′"",""src_product"":""Mahamaya"",""dst_product"":""Nara"",""ql"":""D2-transform"",""coverage"":""H"",""cf_view"":""CF5-field"",""seam"":""34:symbolic-personal"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#35;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
